OLD Site,REF LOC_ID,New Site
AYT0127,D_AYT0127,AYT0127
AYT0130,D_AYT0130,AYT0130
AYT0132,D_AYT0132,AYT0132
AYT0133,D_AYT0133,AYT0133
AYT0134,D_AYT0134,AYT0134
AYT0135,D_AYT0135,AYT0135
AYT0138,D_AYT0138,AYT0138
AYT0143,D_AYT0143,AYT0143
AYT0144,D_AYT0144,AYT0144
AYT0145,D_AYT0145,AYT0145
AYT0147,D_AYT0147,AYT0147
AYT0150,D_AYT0150,AYT0150
AYT0170,D_AYT0170,AYT0170
AYT0171,D_AYT0171,AYT0171
AYT0172,D_AYT0172,AYT0172
AYT0173,D_AYT0173,AYT0173
AYT0175,D_AYT0175,AYT0175
AYT0179,D_AYT0179,AYT0179
AYT0182,D_AYT0182,AYT0182
AYT0191,D_AYT0191,AYT0191
AYT0194,D_AYT0194,AYT0194
AYT0197,D_AYT0197,AYT0197
AYT0200,D_AYT0200,AYT0200
AYT0204,D_AYT0204,AYT0204
AYT0205,D_AYT0205,AYT0205
AYT0218,D_AYT0218,AYT0218
AYT0225,D_AYT0225,AYT0225
AYT0226,D_AYT0226,AYT0226
AYT0227,D_AYT0227,AYT0227
AYT0228,D_AYT0228,AYT0228
AYT0243,D_AYT0243,AYT0243
AYT0245,D_AYT0245,AYT0245
AYT0246,D_AYT0246,AYT0246
AYT0247,D_AYT0247,AYT0247
AYT0248,D_AYT0248,AYT0248
AYT0253,D_AYT0253,AYT0253
AYT0258,D_AYT0258,AYT0258
AYT0259,D_AYT0259,AYT0259
AYT0262,D_AYT0262,AYT0262
AYT0265,D_AYT0265,AYT0265
AYT0267,D_AYT0267,AYT0267
AYT0274,D_AYT0274,AYT0274
AYT0279,D_AYT0279,AYT0279
AYT0282,D_AYT0282,AYT0282
AYT0284,D_AYT0284,AYT0284
